C7	62.36	59.31	90.00	100nf	CAPC1608X87N
R23	47.63	59.05	90.00	10k	RESC1608X55N
R24	49.91	59.05	90.00	10k	RESC1608X55N
R25	51.05	59.05	90.00	10k	RESC1608X55N
R26	54.48	59.05	90.00	10k	RESC1608X55N
R27	63.50	59.31	90.00	10k	RESC1608X55N
R28	65.79	59.31	90.00	10k	RESC1608X55N
R29	66.93	59.31	90.00	0	RESC1608X55N
R30	64.64	59.31	90.00	0	RESC1608X55N
R31	55.63	59.05	90.00	0	RESC1608X55N
R32	53.34	59.05	90.00	0	RESC1608X55N
R33	52.20	59.05	90.00	0	RESC1608X55N
R34	48.77	59.05	90.00	0	RESC1608X55N
R35	48.26	55.75	270.00	0	RESC1608X55N
U$3	57.40	50.18	0.00	MICROSD-PUSH-OUT	MICROSD-PUSH-OUT
