BATT_SW	17.99	63.75	270.00	JS102011SAQN	SW_JS102011SAQN
C1	28.19	53.47	90.00	100nf	CAPC1608X87N
C14	41.82	66.47	0.00	1uF	0603
C15	64.52	69.47	0.00	100nf	CAPC1608X87N
C16	64.52	70.74	0.00	10nf	CAPC1608X87N
C17	29.21	42.16	0.00	100nf	CAPC1608X87N
C18	23.75	42.16	180.00	100nf	CAPC1608X87N
C19	26.42	42.16	0.00	100nf	CAPC1608X87N
C2	38.73	52.32	270.00	100nf	CAPC1608X87N
C20	49.02	45.85	270.00	1uf	CAPC1608X87N
C21	50.16	45.85	270.00	10nf	CAPC1608X87N
C22	41.40	52.20	270.00	1uf	CAPC1608X87N
C23	46.36	52.20	270.00	100nf	CAPC1608X87N
C24	35.81	72.52	0.00	100nf	CAPC1608X87N
C25	36.20	69.72	0.00	100nf	CAPC1608X87N
C3	26.29	51.94	0.00	22pf	CAPC1608X87N
C4	23.88	51.94	180.00	22pf	CAPC1608X87N
C5	46.48	71.25	0.00	100nf	CAPC1608X87N
C6	46.48	69.85	0.00	100nf	CAPC1608X87N
C8	43.69	47.12	90.00	100nf	CAPC1608X87N
D1	40.13	45.72	270.00	1N5819HW-7	SOD3715X145N
IC1	26.54	47.37	270.00	FT231XS-R	SOP64P599X175-20N
IC2	34.29	58.42	0.00	BN055	LGA-28_3.80X5.20/0.5
IC3	51.94	72.39	0.00	BMP280	8-PIN-METAL-LID-LGA
IC4	42.80	43.94	90.00	M3406-ADJ	SOT95P280X100-5N
IC6	32.26	72.52	180.00	DW01A	SOT23-6
L1	45.21	43.69	90.00	MLF2012A2R2KT000	INDC2012X105N
LED1	33.02	43.05	90.00	Green	LEDC2012X80N
LED2	37.85	43.05	90.00	Green	LEDC2012X80N
LED5	35.43	43.05	90.00	Green	LEDC2012X80N
LED6	44.58	73.79	270.00	Green	LEDC2012X80N
LED7	42.16	73.79	270.00	Green	LEDC2012X80N
Q1	58.80	73.41	0.00	MMBT3904-TP	SI2305TP
Q2	62.10	73.28	0.00	MMBT3904-TP	SI2305TP
Q4	26.80	69.22	0.00	FS8205A	SOP65P640X120-8N
R1	29.34	53.47	90.00	10k	RESC1608X55N
R10	33.02	45.97	270.00	330	ERJH3
R11	49.66	43.56	180.00	10k	RESC1608X55N
R12	35.43	45.85	270.00	330	ERJH3
R13	40.01	73.91	90.00	1k	RESC1608X55N
R14	46.61	73.91	90.00	1k	RESC1608X55N
R15	21.59	64.64	270.00	1.2k	RESC1608X55N
R16	35.81	71.25	0.00	100	RESC1608X55N
R17	35.94	74.04	180.00	1k	RESC1608X55N
R18	41.27	69.60	180.00	47k	ERJH3
R19	41.27	70.74	180.00	47k	ERJH3
R2	30.61	53.47	90.00	10k	RESC1608X55N
R20	47.50	48.13	90.00	10k	RESC1608X55N
R21	46.36	66.80	0.00	10k	RESC1608X55N
R22	46.48	62.99	90.00	10k	RESC1608X55N
R3	40.01	52.20	270.00	10k	RESC1608X55N
R36	33.02	55.12	180.00	10k	RESC1608X55N
R37	47.50	45.47	270.00	40k2	RESC1608X55N
R4	56.26	72.64	270.00	10k	RESC1608X55N
R5	46.36	68.33	0.00	10k	RESC1608X55N
R51	64.39	73.28	90.00	10k	RESC1608X55N
R6	49.66	42.42	180.00	10k	RESC1608X55N
R7	59.05	70.74	0.00	10k	RESC1608X55N
R8	61.85	70.74	180.00	10k	RESC1608X55N
R9	37.85	45.85	270.00	330	ERJH3
SW1	56.52	45.34	90.00	KMR2	BTN_KMR2_4.6X2.8
SW2	41.89	63.84	0.00	KMR2	BTN_KMR2_4.6X2.8
SW3	53.21	45.34	90.00	KMR2	BTN_KMR2_4.6X2.8
U3	26.67	64.64	0.00	TP4056	SOP127P600X175-9N
U4	57.59	58.55	270.00	ESP32-WROOM-32D	MODULE_ESP32-WROOM-32D
U6	43.94	52.45	90.00	SI2301BDS-T1-E3	SOT95P237X112-3N
USB	20.63	53.72	270.00	TYPE-C-31-M-12	HRO_TYPE-C-31-M-12
Y1	24.77	53.72	180.00	ECS-.327-12.5-34B	ECX-31B
